date,value,item
2006-01-01,1.062,"Chicken, fresh, whole, per lb. (453.6 gm)"
2007-01-01,1.033,"Chicken, fresh, whole, per lb. (453.6 gm)"
2008-01-01,1.163,"Chicken, fresh, whole, per lb. (453.6 gm)"
2009-01-01,1.292,"Chicken, fresh, whole, per lb. (453.6 gm)"
2010-01-01,1.265,"Chicken, fresh, whole, per lb. (453.6 gm)"
2011-01-01,1.241,"Chicken, fresh, whole, per lb. (453.6 gm)"
2012-01-01,1.334,"Chicken, fresh, whole, per lb. (453.6 gm)"
2013-01-01,1.497,"Chicken, fresh, whole, per lb. (453.6 gm)"
2014-01-01,1.529,"Chicken, fresh, whole, per lb. (453.6 gm)"
2015-01-01,1.546,"Chicken, fresh, whole, per lb. (453.6 gm)"
2016-01-01,1.429,"Chicken, fresh, whole, per lb. (453.6 gm)"
2017-01-01,1.418,"Chicken, fresh, whole, per lb. (453.6 gm)"
2018-01-01,1.509,"Chicken, fresh, whole, per lb. (453.6 gm)"
2019-01-01,1.473,"Chicken, fresh, whole, per lb. (453.6 gm)"
2020-01-01,1.409,"Chicken, fresh, whole, per lb. (453.6 gm)"
1980-02-01,0.673,"Chicken, fresh, whole, per lb. (453.6 gm)"
1981-02-01,0.759,"Chicken, fresh, whole, per lb. (453.6 gm)"
1982-02-01,0.726,"Chicken, fresh, whole, per lb. (453.6 gm)"
1983-02-01,0.699,"Chicken, fresh, whole, per lb. (453.6 gm)"
1984-02-01,0.867,"Chicken, fresh, whole, per lb. (453.6 gm)"
1985-02-01,0.772,"Chicken, fresh, whole, per lb. (453.6 gm)"
1986-02-01,0.771,"Chicken, fresh, whole, per lb. (453.6 gm)"
1987-02-01,0.832,"Chicken, fresh, whole, per lb. (453.6 gm)"
1988-02-01,0.745,"Chicken, fresh, whole, per lb. (453.6 gm)"
1989-02-01,0.899,"Chicken, fresh, whole, per lb. (453.6 gm)"
1990-02-01,0.896,"Chicken, fresh, whole, per lb. (453.6 gm)"
1991-02-01,0.903,"Chicken, fresh, whole, per lb. (453.6 gm)"
1992-02-01,0.849,"Chicken, fresh, whole, per lb. (453.6 gm)"
1993-02-01,0.871,"Chicken, fresh, whole, per lb. (453.6 gm)"
1994-02-01,0.888,"Chicken, fresh, whole, per lb. (453.6 gm)"
1995-02-01,0.893,"Chicken, fresh, whole, per lb. (453.6 gm)"
1996-02-01,0.94,"Chicken, fresh, whole, per lb. (453.6 gm)"
1997-02-01,1.008,"Chicken, fresh, whole, per lb. (453.6 gm)"
1998-02-01,1.007,"Chicken, fresh, whole, per lb. (453.6 gm)"
1999-02-01,1.064,"Chicken, fresh, whole, per lb. (453.6 gm)"
2000-02-01,1.046,"Chicken, fresh, whole, per lb. (453.6 gm)"
2001-02-01,1.09,"Chicken, fresh, whole, per lb. (453.6 gm)"
2002-02-01,1.111,"Chicken, fresh, whole, per lb. (453.6 gm)"
2003-02-01,1.031,"Chicken, fresh, whole, per lb. (453.6 gm)"
2004-02-01,1.06,"Chicken, fresh, whole, per lb. (453.6 gm)"
2005-02-01,1.038,"Chicken, fresh, whole, per lb. (453.6 gm)"
2006-02-01,1.045,"Chicken, fresh, whole, per lb. (453.6 gm)"
2007-02-01,1.039,"Chicken, fresh, whole, per lb. (453.6 gm)"
2008-02-01,1.159,"Chicken, fresh, whole, per lb. (453.6 gm)"
2009-02-01,1.29,"Chicken, fresh, whole, per lb. (453.6 gm)"
2010-02-01,1.265,"Chicken, fresh, whole, per lb. (453.6 gm)"
2011-02-01,1.266,"Chicken, fresh, whole, per lb. (453.6 gm)"
2012-02-01,1.356,"Chicken, fresh, whole, per lb. (453.6 gm)"
2013-02-01,1.456,"Chicken, fresh, whole, per lb. (453.6 gm)"
2014-02-01,1.504,"Chicken, fresh, whole, per lb. (453.6 gm)"
2015-02-01,1.55,"Chicken, fresh, whole, per lb. (453.6 gm)"
2016-02-01,1.478,"Chicken, fresh, whole, per lb. (453.6 gm)"
2017-02-01,1.473,"Chicken, fresh, whole, per lb. (453.6 gm)"
2018-02-01,1.478,"Chicken, fresh, whole, per lb. (453.6 gm)"
2019-02-01,1.486,"Chicken, fresh, whole, per lb. (453.6 gm)"
2020-02-01,1.362,"Chicken, fresh, whole, per lb. (453.6 gm)"
1980-03-01,0.655,"Chicken, fresh, whole, per lb. (453.6 gm)"
1981-03-01,0.755,"Chicken, fresh, whole, per lb. (453.6 gm)"
1982-03-01,0.715,"Chicken, fresh, whole, per lb. (453.6 gm)"
1983-03-01,0.698,"Chicken, fresh, whole, per lb. (453.6 gm)"
1984-03-01,0.848,"Chicken, fresh, whole, per lb. (453.6 gm)"
1985-03-01,0.769,"Chicken, fresh, whole, per lb. (453.6 gm)"
1986-03-01,0.767,"Chicken, fresh, whole, per lb. (453.6 gm)"
1987-03-01,0.804,"Chicken, fresh, whole, per lb. (453.6 gm)"
1988-03-01,0.753,"Chicken, fresh, whole, per lb. (453.6 gm)"
1989-03-01,0.913,"Chicken, fresh, whole, per lb. (453.6 gm)"
1990-03-01,0.928,"Chicken, fresh, whole, per lb. (453.6 gm)"
1991-03-01,0.899,"Chicken, fresh, whole, per lb. (453.6 gm)"
1992-03-01,0.859,"Chicken, fresh, whole, per lb. (453.6 gm)"
1993-03-01,0.879,"Chicken, fresh, whole, per lb. (453.6 gm)"
1994-03-01,0.891,"Chicken, fresh, whole, per lb. (453.6 gm)"
1995-03-01,0.917,"Chicken, fresh, whole, per lb. (453.6 gm)"
1996-03-01,0.933,"Chicken, fresh, whole, per lb. (453.6 gm)"
1997-03-01,1.009,"Chicken, fresh, whole, per lb. (453.6 gm)"
1998-03-01,1.032,"Chicken, fresh, whole, per lb. (453.6 gm)"
1999-03-01,1.057,"Chicken, fresh, whole, per lb. (453.6 gm)"
2000-03-01,1.064,"Chicken, fresh, whole, per lb. (453.6 gm)"
2001-03-01,1.103,"Chicken, fresh, whole, per lb. (453.6 gm)"
2002-03-01,1.11,"Chicken, fresh, whole, per lb. (453.6 gm)"
2003-03-01,1.049,"Chicken, fresh, whole, per lb. (453.6 gm)"
2004-03-01,1.1,"Chicken, fresh, whole, per lb. (453.6 gm)"
2005-03-01,1.061,"Chicken, fresh, whole, per lb. (453.6 gm)"
2006-03-01,1.047,"Chicken, fresh, whole, per lb. (453.6 gm)"
2007-03-01,1.064,"Chicken, fresh, whole, per lb. (453.6 gm)"
2008-03-01,1.168,"Chicken, fresh, whole, per lb. (453.6 gm)"
2009-03-01,1.301,"Chicken, fresh, whole, per lb. (453.6 gm)"
2010-03-01,1.231,"Chicken, fresh, whole, per lb. (453.6 gm)"
2011-03-01,1.269,"Chicken, fresh, whole, per lb. (453.6 gm)"
2012-03-01,1.372,"Chicken, fresh, whole, per lb. (453.6 gm)"
2013-03-01,1.471,"Chicken, fresh, whole, per lb. (453.6 gm)"
2014-03-01,1.544,"Chicken, fresh, whole, per lb. (453.6 gm)"
2015-03-01,1.545,"Chicken, fresh, whole, per lb. (453.6 gm)"
2016-03-01,1.463,"Chicken, fresh, whole, per lb. (453.6 gm)"
2017-03-01,1.462,"Chicken, fresh, whole, per lb. (453.6 gm)"
2018-03-01,1.502,"Chicken, fresh, whole, per lb. (453.6 gm)"
2019-03-01,1.468,"Chicken, fresh, whole, per lb. (453.6 gm)"
2020-03-01,1.4,"Chicken, fresh, whole, per lb. (453.6 gm)"
1980-04-01,0.638,"Chicken, fresh, whole, per lb. (453.6 gm)"
1981-04-01,0.734,"Chicken, fresh, whole, per lb. (453.6 gm)"
1982-04-01,0.712,"Chicken, fresh, whole, per lb. (453.6 gm)"
1983-04-01,0.676,"Chicken, fresh, whole, per lb. (453.6 gm)"
1984-04-01,0.844,"Chicken, fresh, whole, per lb. (453.6 gm)"
1985-04-01,0.764,"Chicken, fresh, whole, per lb. (453.6 gm)"
1986-04-01,0.752,"Chicken, fresh, whole, per lb. (453.6 gm)"
1987-04-01,0.792,"Chicken, fresh, whole, per lb. (453.6 gm)"
1988-04-01,0.76,"Chicken, fresh, whole, per lb. (453.6 gm)"
1989-04-01,0.932,"Chicken, fresh, whole, per lb. (453.6 gm)"
1990-04-01,0.897,"Chicken, fresh, whole, per lb. (453.6 gm)"
1991-04-01,0.885,"Chicken, fresh, whole, per lb. (453.6 gm)"
1992-04-01,0.861,"Chicken, fresh, whole, per lb. (453.6 gm)"
1993-04-01,0.874,"Chicken, fresh, whole, per lb. (453.6 gm)"
1994-04-01,0.899,"Chicken, fresh, whole, per lb. (453.6 gm)"
1995-04-01,0.911,"Chicken, fresh, whole, per lb. (453.6 gm)"
1996-04-01,0.947,"Chicken, fresh, whole, per lb. (453.6 gm)"
1997-04-01,1.002,"Chicken, fresh, whole, per lb. (453.6 gm)"
1998-04-01,1.029,"Chicken, fresh, whole, per lb. (453.6 gm)"
1999-04-01,1.057,"Chicken, fresh, whole, per lb. (453.6 gm)"
2000-04-01,1.069,"Chicken, fresh, whole, per lb. (453.6 gm)"
2001-04-01,1.101,"Chicken, fresh, whole, per lb. (453.6 gm)"
2002-04-01,1.11,"Chicken, fresh, whole, per lb. (453.6 gm)"
2003-04-01,1.053,"Chicken, fresh, whole, per lb. (453.6 gm)"
2004-04-01,1.12,"Chicken, fresh, whole, per lb. (453.6 gm)"
2005-04-01,1.07,"Chicken, fresh, whole, per lb. (453.6 gm)"
2006-04-01,1.054,"Chicken, fresh, whole, per lb. (453.6 gm)"
2007-04-01,1.115,"Chicken, fresh, whole, per lb. (453.6 gm)"
2008-04-01,1.176,"Chicken, fresh, whole, per lb. (453.6 gm)"
2009-04-01,1.296,"Chicken, fresh, whole, per lb. (453.6 gm)"
2010-04-01,1.23,"Chicken, fresh, whole, per lb. (453.6 gm)"
2011-04-01,1.261,"Chicken, fresh, whole, per lb. (453.6 gm)"
2012-04-01,1.401,"Chicken, fresh, whole, per lb. (453.6 gm)"
2013-04-01,1.473,"Chicken, fresh, whole, per lb. (453.6 gm)"
2014-04-01,1.53,"Chicken, fresh, whole, per lb. (453.6 gm)"
2015-04-01,1.539,"Chicken, fresh, whole, per lb. (453.6 gm)"
2016-04-01,1.496,"Chicken, fresh, whole, per lb. (453.6 gm)"
2017-04-01,1.444,"Chicken, fresh, whole, per lb. (453.6 gm)"
2018-04-01,1.511,"Chicken, fresh, whole, per lb. (453.6 gm)"
2019-04-01,1.463,"Chicken, fresh, whole, per lb. (453.6 gm)"
2020-04-01,1.571,"Chicken, fresh, whole, per lb. (453.6 gm)"
1980-05-01,0.628,"Chicken, fresh, whole, per lb. (453.6 gm)"
1981-05-01,0.706,"Chicken, fresh, whole, per lb. (453.6 gm)"
1982-05-01,0.72,"Chicken, fresh, whole, per lb. (453.6 gm)"
1983-05-01,0.687,"Chicken, fresh, whole, per lb. (453.6 gm)"
1984-05-01,0.811,"Chicken, fresh, whole, per lb. (453.6 gm)"
1985-05-01,0.745,"Chicken, fresh, whole, per lb. (453.6 gm)"
1986-05-01,0.769,"Chicken, fresh, whole, per lb. (453.6 gm)"
1987-05-01,0.782,"Chicken, fresh, whole, per lb. (453.6 gm)"
1988-05-01,0.796,"Chicken, fresh, whole, per lb. (453.6 gm)"
1989-05-01,0.961,"Chicken, fresh, whole, per lb. (453.6 gm)"
1990-05-01,0.902,"Chicken, fresh, whole, per lb. (453.6 gm)"
1991-05-01,0.883,"Chicken, fresh, whole, per lb. (453.6 gm)"
1992-05-01,0.854,"Chicken, fresh, whole, per lb. (453.6 gm)"
1993-05-01,0.888,"Chicken, fresh, whole, per lb. (453.6 gm)"
1994-05-01,0.902,"Chicken, fresh, whole, per lb. (453.6 gm)"
1995-05-01,0.891,"Chicken, fresh, whole, per lb. (453.6 gm)"
1996-05-01,0.949,"Chicken, fresh, whole, per lb. (453.6 gm)"
1997-05-01,1.007,"Chicken, fresh, whole, per lb. (453.6 gm)"
1998-05-01,1.032,"Chicken, fresh, whole, per lb. (453.6 gm)"
1999-05-01,1.026,"Chicken, fresh, whole, per lb. (453.6 gm)"
2000-05-01,1.052,"Chicken, fresh, whole, per lb. (453.6 gm)"
2001-05-01,1.095,"Chicken, fresh, whole, per lb. (453.6 gm)"
2002-05-01,1.094,"Chicken, fresh, whole, per lb. (453.6 gm)"
2003-05-01,1.031,"Chicken, fresh, whole, per lb. (453.6 gm)"
2004-05-01,1.039,"Chicken, fresh, whole, per lb. (453.6 gm)"
2005-05-01,1.052,"Chicken, fresh, whole, per lb. (453.6 gm)"
2006-05-01,1.034,"Chicken, fresh, whole, per lb. (453.6 gm)"
2007-05-01,1.118,"Chicken, fresh, whole, per lb. (453.6 gm)"
2008-05-01,1.194,"Chicken, fresh, whole, per lb. (453.6 gm)"
2009-05-01,1.304,"Chicken, fresh, whole, per lb. (453.6 gm)"
2010-05-01,1.259,"Chicken, fresh, whole, per lb. (453.6 gm)"
2011-05-01,1.302,"Chicken, fresh, whole, per lb. (453.6 gm)"
2012-05-01,1.347,"Chicken, fresh, whole, per lb. (453.6 gm)"
2013-05-01,1.466,"Chicken, fresh, whole, per lb. (453.6 gm)"
2014-05-01,1.556,"Chicken, fresh, whole, per lb. (453.6 gm)"
2015-05-01,1.483,"Chicken, fresh, whole, per lb. (453.6 gm)"
2016-05-01,1.489,"Chicken, fresh, whole, per lb. (453.6 gm)"
2017-05-01,1.499,"Chicken, fresh, whole, per lb. (453.6 gm)"
2018-05-01,1.523,"Chicken, fresh, whole, per lb. (453.6 gm)"
2019-05-01,1.479,"Chicken, fresh, whole, per lb. (453.6 gm)"
2020-05-01,,"Chicken, fresh, whole, per lb. (453.6 gm)"
1980-06-01,0.64,"Chicken, fresh, whole, per lb. (453.6 gm)"
1981-06-01,0.717,"Chicken, fresh, whole, per lb. (453.6 gm)"
1982-06-01,0.732,"Chicken, fresh, whole, per lb. (453.6 gm)"
1983-06-01,0.699,"Chicken, fresh, whole, per lb. (453.6 gm)"
1984-06-01,0.817,"Chicken, fresh, whole, per lb. (453.6 gm)"
1985-06-01,0.761,"Chicken, fresh, whole, per lb. (453.6 gm)"
1986-06-01,0.795,"Chicken, fresh, whole, per lb. (453.6 gm)"
1987-06-01,0.771,"Chicken, fresh, whole, per lb. (453.6 gm)"
1988-06-01,0.868,"Chicken, fresh, whole, per lb. (453.6 gm)"
1989-06-01,0.982,"Chicken, fresh, whole, per lb. (453.6 gm)"
1990-06-01,0.928,"Chicken, fresh, whole, per lb. (453.6 gm)"
1991-06-01,0.878,"Chicken, fresh, whole, per lb. (453.6 gm)"
1992-06-01,0.861,"Chicken, fresh, whole, per lb. (453.6 gm)"
1993-06-01,0.891,"Chicken, fresh, whole, per lb. (453.6 gm)"
1994-06-01,0.918,"Chicken, fresh, whole, per lb. (453.6 gm)"
1995-06-01,0.908,"Chicken, fresh, whole, per lb. (453.6 gm)"
1996-06-01,0.968,"Chicken, fresh, whole, per lb. (453.6 gm)"
1997-06-01,0.993,"Chicken, fresh, whole, per lb. (453.6 gm)"
1998-06-01,1.016,"Chicken, fresh, whole, per lb. (453.6 gm)"
1999-06-01,1.041,"Chicken, fresh, whole, per lb. (453.6 gm)"
2000-06-01,1.069,"Chicken, fresh, whole, per lb. (453.6 gm)"
2001-06-01,1.106,"Chicken, fresh, whole, per lb. (453.6 gm)"
2002-06-01,1.066,"Chicken, fresh, whole, per lb. (453.6 gm)"
2003-06-01,1.033,"Chicken, fresh, whole, per lb. (453.6 gm)"
2004-06-01,1.06,"Chicken, fresh, whole, per lb. (453.6 gm)"
2005-06-01,1.075,"Chicken, fresh, whole, per lb. (453.6 gm)"
2006-06-01,1.055,"Chicken, fresh, whole, per lb. (453.6 gm)"
2007-06-01,1.134,"Chicken, fresh, whole, per lb. (453.6 gm)"
2008-06-01,1.181,"Chicken, fresh, whole, per lb. (453.6 gm)"
2009-06-01,1.282,"Chicken, fresh, whole, per lb. (453.6 gm)"
2010-06-01,1.239,"Chicken, fresh, whole, per lb. (453.6 gm)"
2011-06-01,1.305,"Chicken, fresh, whole, per lb. (453.6 gm)"
2012-06-01,1.39,"Chicken, fresh, whole, per lb. (453.6 gm)"
2013-06-01,1.509,"Chicken, fresh, whole, per lb. (453.6 gm)"
2014-06-01,1.503,"Chicken, fresh, whole, per lb. (453.6 gm)"
2015-06-01,1.515,"Chicken, fresh, whole, per lb. (453.6 gm)"
2016-06-01,1.408,"Chicken, fresh, whole, per lb. (453.6 gm)"
2017-06-01,1.497,"Chicken, fresh, whole, per lb. (453.6 gm)"
2018-06-01,1.514,"Chicken, fresh, whole, per lb. (453.6 gm)"
2019-06-01,1.59,"Chicken, fresh, whole, per lb. (453.6 gm)"
2020-06-01,1.747,"Chicken, fresh, whole, per lb. (453.6 gm)"
1980-07-01,0.71,"Chicken, fresh, whole, per lb. (453.6 gm)"
1981-07-01,0.767,"Chicken, fresh, whole, per lb. (453.6 gm)"
1982-07-01,0.74,"Chicken, fresh, whole, per lb. (453.6 gm)"
1983-07-01,0.724,"Chicken, fresh, whole, per lb. (453.6 gm)"
1984-07-01,0.829,"Chicken, fresh, whole, per lb. (453.6 gm)"
1985-07-01,0.753,"Chicken, fresh, whole, per lb. (453.6 gm)"
1986-07-01,0.889,"Chicken, fresh, whole, per lb. (453.6 gm)"
1987-07-01,0.755,"Chicken, fresh, whole, per lb. (453.6 gm)"
1988-07-01,0.937,"Chicken, fresh, whole, per lb. (453.6 gm)"
1989-07-01,0.964,"Chicken, fresh, whole, per lb. (453.6 gm)"
1990-07-01,0.917,"Chicken, fresh, whole, per lb. (453.6 gm)"
1991-07-01,0.888,"Chicken, fresh, whole, per lb. (453.6 gm)"
1992-07-01,0.878,"Chicken, fresh, whole, per lb. (453.6 gm)"
1993-07-01,0.89,"Chicken, fresh, whole, per lb. (453.6 gm)"
1994-07-01,0.92,"Chicken, fresh, whole, per lb. (453.6 gm)"
1995-07-01,0.919,"Chicken, fresh, whole, per lb. (453.6 gm)"
1996-07-01,0.972,"Chicken, fresh, whole, per lb. (453.6 gm)"
1997-07-01,1.005,"Chicken, fresh, whole, per lb. (453.6 gm)"
1998-07-01,1.033,"Chicken, fresh, whole, per lb. (453.6 gm)"
1999-07-01,1.045,"Chicken, fresh, whole, per lb. (453.6 gm)"
2000-07-01,1.089,"Chicken, fresh, whole, per lb. (453.6 gm)"
2001-07-01,1.102,"Chicken, fresh, whole, per lb. (453.6 gm)"
2002-07-01,1.077,"Chicken, fresh, whole, per lb. (453.6 gm)"
2003-07-01,1.027,"Chicken, fresh, whole, per lb. (453.6 gm)"
2004-07-01,1.077,"Chicken, fresh, whole, per lb. (453.6 gm)"
2005-07-01,1.067,"Chicken, fresh, whole, per lb. (453.6 gm)"
2006-07-01,1.04,"Chicken, fresh, whole, per lb. (453.6 gm)"
2007-07-01,1.13,"Chicken, fresh, whole, per lb. (453.6 gm)"
2008-07-01,1.191,"Chicken, fresh, whole, per lb. (453.6 gm)"
2009-07-01,1.261,"Chicken, fresh, whole, per lb. (453.6 gm)"
2010-07-01,1.28,"Chicken, fresh, whole, per lb. (453.6 gm)"
2011-07-01,1.306,"Chicken, fresh, whole, per lb. (453.6 gm)"
2012-07-01,1.454,"Chicken, fresh, whole, per lb. (453.6 gm)"
2013-07-01,1.484,"Chicken, fresh, whole, per lb. (453.6 gm)"
2014-07-01,1.495,"Chicken, fresh, whole, per lb. (453.6 gm)"
2015-07-01,1.487,"Chicken, fresh, whole, per lb. (453.6 gm)"
2016-07-01,1.445,"Chicken, fresh, whole, per lb. (453.6 gm)"
2017-07-01,1.496,"Chicken, fresh, whole, per lb. (453.6 gm)"
2018-07-01,1.519,"Chicken, fresh, whole, per lb. (453.6 gm)"
2019-07-01,1.562,"Chicken, fresh, whole, per lb. (453.6 gm)"
2020-07-01,1.712,"Chicken, fresh, whole, per lb. (453.6 gm)"
1980-08-01,0.751,"Chicken, fresh, whole, per lb. (453.6 gm)"
1981-08-01,0.752,"Chicken, fresh, whole, per lb. (453.6 gm)"
1982-08-01,0.717,"Chicken, fresh, whole, per lb. (453.6 gm)"
1983-08-01,0.74,"Chicken, fresh, whole, per lb. (453.6 gm)"
1984-08-01,0.788,"Chicken, fresh, whole, per lb. (453.6 gm)"
1985-08-01,0.757,"Chicken, fresh, whole, per lb. (453.6 gm)"
1986-08-01,0.958,"Chicken, fresh, whole, per lb. (453.6 gm)"
1987-08-01,0.785,"Chicken, fresh, whole, per lb. (453.6 gm)"
1988-08-01,0.961,"Chicken, fresh, whole, per lb. (453.6 gm)"
1989-08-01,0.954,"Chicken, fresh, whole, per lb. (453.6 gm)"
1990-08-01,0.912,"Chicken, fresh, whole, per lb. (453.6 gm)"
1991-08-01,0.869,"Chicken, fresh, whole, per lb. (453.6 gm)"
1992-08-01,0.882,"Chicken, fresh, whole, per lb. (453.6 gm)"
1993-08-01,0.896,"Chicken, fresh, whole, per lb. (453.6 gm)"
1994-08-01,0.905,"Chicken, fresh, whole, per lb. (453.6 gm)"
1995-08-01,0.908,"Chicken, fresh, whole, per lb. (453.6 gm)"
1996-08-01,0.99,"Chicken, fresh, whole, per lb. (453.6 gm)"
1997-08-01,0.988,"Chicken, fresh, whole, per lb. (453.6 gm)"
1998-08-01,1.059,"Chicken, fresh, whole, per lb. (453.6 gm)"
1999-08-01,1.043,"Chicken, fresh, whole, per lb. (453.6 gm)"
2000-08-01,1.086,"Chicken, fresh, whole, per lb. (453.6 gm)"
2001-08-01,1.11,"Chicken, fresh, whole, per lb. (453.6 gm)"
2002-08-01,1.035,"Chicken, fresh, whole, per lb. (453.6 gm)"
2003-08-01,1.023,"Chicken, fresh, whole, per lb. (453.6 gm)"
2004-08-01,1.092,"Chicken, fresh, whole, per lb. (453.6 gm)"
2005-08-01,1.042,"Chicken, fresh, whole, per lb. (453.6 gm)"
2006-08-01,1.048,"Chicken, fresh, whole, per lb. (453.6 gm)"
2007-08-01,1.145,"Chicken, fresh, whole, per lb. (453.6 gm)"
2008-08-01,1.223,"Chicken, fresh, whole, per lb. (453.6 gm)"
2009-08-01,1.287,"Chicken, fresh, whole, per lb. (453.6 gm)"
2010-08-01,1.254,"Chicken, fresh, whole, per lb. (453.6 gm)"
2011-08-01,1.296,"Chicken, fresh, whole, per lb. (453.6 gm)"
2012-08-01,1.433,"Chicken, fresh, whole, per lb. (453.6 gm)"
2013-08-01,1.489,"Chicken, fresh, whole, per lb. (453.6 gm)"
2014-08-01,1.572,"Chicken, fresh, whole, per lb. (453.6 gm)"
2015-08-01,1.428,"Chicken, fresh, whole, per lb. (453.6 gm)"
2016-08-01,1.426,"Chicken, fresh, whole, per lb. (453.6 gm)"
2017-08-01,1.489,"Chicken, fresh, whole, per lb. (453.6 gm)"
2018-08-01,1.511,"Chicken, fresh, whole, per lb. (453.6 gm)"
2019-08-01,1.514,"Chicken, fresh, whole, per lb. (453.6 gm)"
2020-08-01,1.609,"Chicken, fresh, whole, per lb. (453.6 gm)"
1980-09-01,0.791,"Chicken, fresh, whole, per lb. (453.6 gm)"
1981-09-01,0.728,"Chicken, fresh, whole, per lb. (453.6 gm)"
1982-09-01,0.713,"Chicken, fresh, whole, per lb. (453.6 gm)"
1983-09-01,0.769,"Chicken, fresh, whole, per lb. (453.6 gm)"
1984-09-01,0.79,"Chicken, fresh, whole, per lb. (453.6 gm)"
1985-09-01,0.762,"Chicken, fresh, whole, per lb. (453.6 gm)"
1986-09-01,0.91,"Chicken, fresh, whole, per lb. (453.6 gm)"
1987-09-01,0.793,"Chicken, fresh, whole, per lb. (453.6 gm)"
1988-09-01,0.975,"Chicken, fresh, whole, per lb. (453.6 gm)"
1989-09-01,0.942,"Chicken, fresh, whole, per lb. (453.6 gm)"
1990-09-01,0.907,"Chicken, fresh, whole, per lb. (453.6 gm)"
1991-09-01,0.874,"Chicken, fresh, whole, per lb. (453.6 gm)"
1992-09-01,0.881,"Chicken, fresh, whole, per lb. (453.6 gm)"
1993-09-01,0.897,"Chicken, fresh, whole, per lb. (453.6 gm)"
1994-09-01,0.901,"Chicken, fresh, whole, per lb. (453.6 gm)"
1995-09-01,0.939,"Chicken, fresh, whole, per lb. (453.6 gm)"
1996-09-01,1.006,"Chicken, fresh, whole, per lb. (453.6 gm)"
1997-09-01,0.992,"Chicken, fresh, whole, per lb. (453.6 gm)"
1998-09-01,1.074,"Chicken, fresh, whole, per lb. (453.6 gm)"
1999-09-01,1.08,"Chicken, fresh, whole, per lb. (453.6 gm)"
2000-09-01,1.087,"Chicken, fresh, whole, per lb. (453.6 gm)"
2001-09-01,1.107,"Chicken, fresh, whole, per lb. (453.6 gm)"
2002-09-01,1.074,"Chicken, fresh, whole, per lb. (453.6 gm)"
2003-09-01,1.022,"Chicken, fresh, whole, per lb. (453.6 gm)"
2004-09-01,1.078,"Chicken, fresh, whole, per lb. (453.6 gm)"
2005-09-01,1.056,"Chicken, fresh, whole, per lb. (453.6 gm)"
2006-09-01,1.063,"Chicken, fresh, whole, per lb. (453.6 gm)"
2007-09-01,1.142,"Chicken, fresh, whole, per lb. (453.6 gm)"
2008-09-01,1.214,"Chicken, fresh, whole, per lb. (453.6 gm)"
2009-09-01,1.258,"Chicken, fresh, whole, per lb. (453.6 gm)"
2010-09-01,1.276,"Chicken, fresh, whole, per lb. (453.6 gm)"
2011-09-01,1.294,"Chicken, fresh, whole, per lb. (453.6 gm)"
2012-09-01,1.455,"Chicken, fresh, whole, per lb. (453.6 gm)"
2013-09-01,1.528,"Chicken, fresh, whole, per lb. (453.6 gm)"
2014-09-01,1.543,"Chicken, fresh, whole, per lb. (453.6 gm)"
2015-09-01,1.415,"Chicken, fresh, whole, per lb. (453.6 gm)"
2016-09-01,1.487,"Chicken, fresh, whole, per lb. (453.6 gm)"
2017-09-01,1.48,"Chicken, fresh, whole, per lb. (453.6 gm)"
2018-09-01,1.487,"Chicken, fresh, whole, per lb. (453.6 gm)"
2019-09-01,1.487,"Chicken, fresh, whole, per lb. (453.6 gm)"
